frame,timestamp,lat,lon
0,2020-06-30 03:30:10.381000,13.40477665897,144.69243540968
1,2020-06-30 03:30:10.447656,13.40477721688072,144.69242429679167
2,2020-06-30 03:30:10.480978,13.40477749578586,144.69241874134784
3,2020-06-30 03:30:10.514311,13.40477777478307,144.69241318407006
4,2020-06-30 03:30:10.547633,13.40477805368821,144.69240762862623
5,2020-06-30 03:30:10.580956,13.40477833260172,144.69240207301567
6,2020-06-30 03:30:10.614289,13.40477861159893,144.69239651573793
7,2020-06-30 03:30:10.647611,13.40477889050407,144.69239096029406
8,2020-06-30 03:30:10.680933,13.40477916940921,144.69238540485023
9,2020-06-30 03:30:10.714267,13.40477944841479,144.69237984740576
10,2020-06-30 03:30:10.747589,13.40477972731993,144.69237429196193
11,2020-06-30 03:30:10.780922,13.40478000631714,144.69236873468415
12,2020-06-30 03:30:10.814244,13.40478028522228,144.69236317924032
13,2020-06-30 03:30:10.847567,13.40478056413579,144.69235762362976
14,2020-06-30 03:30:10.880900,13.404780843133,144.692352066352
15,2020-06-30 03:30:10.914222,13.40478112203814,144.69234651090815
16,2020-06-30 03:30:10.947544,13.40478140094328,144.69234095546432
17,2020-06-30 03:30:10.980878,13.40478167994886,144.69233539801982
18,2020-06-30 03:30:11.014200,13.404781887002,144.692329904204
19,2020-06-30 03:30:11.047533,13.40478199733423,144.69232449159145
20,2020-06-30 03:30:11.080856,13.40478210763336,144.69231908060272
21,2020-06-30 03:30:11.114178,13.40478221792918,144.69231366977635
22,2020-06-30 03:30:11.147511,13.40478232826141,144.6923082571638
23,2020-06-30 03:30:11.180833,13.40478243855723,144.69230284633744
24,2020-06-30 03:30:11.214156,13.40478254885636,144.6922974353487
25,2020-06-30 03:30:11.247489,13.40478265918859,144.69229202273618
26,2020-06-30 03:30:11.280811,13.40478276948441,144.69228661190982
27,2020-06-30 03:30:11.314144,13.40478287981664,144.69228119929727
28,2020-06-30 03:30:11.347467,13.40478299011577,144.69227578830854
29,2020-06-30 03:30:11.380789,13.40478310041159,144.69227037748217
30,2020-06-30 03:30:11.414122,13.40478321074382,144.69226496486965
31,2020-06-30 03:30:11.447444,13.40478332103964,144.6922595540433
32,2020-06-30 03:30:11.480767,13.404783431338771,144.69225414305453
33,2020-06-30 03:30:11.514100,13.404783541671,144.692248730442
34,2020-06-30 03:30:11.547422,13.40478365196682,144.69224331961564
35,2020-06-30 03:30:11.580756,13.40478376230236,144.69223790684072
36,2020-06-30 03:30:11.614078,13.40478387259818,144.69223249601436
37,2020-06-30 03:30:11.647400,13.404783982894001,144.692227085188
38,2020-06-30 03:30:11.680733,13.40478409322623,144.69222167257547
39,2020-06-30 03:30:11.714056,13.40478420352536,144.69221626158674
40,2020-06-30 03:30:11.747378,13.40478431382118,144.69221085076038
41,2020-06-30 03:30:11.780711,13.40478442415341,144.69220543814782
42,2020-06-30 03:30:11.814033,13.404784534449231,144.69220002732146
43,2020-06-30 03:30:11.847367,13.40478464478477,144.69219461454654
44,2020-06-30 03:30:11.880689,13.404784755080591,144.69218920372018
45,2020-06-30 03:30:11.914011,13.40478486537641,144.69218379289384
46,2020-06-30 03:30:11.947344,13.40478497570864,144.6921783802813
47,2020-06-30 03:30:11.980667,13.40478508600777,144.69217296929256
48,2020-06-30 03:30:12.014000,13.40478515546,144.69216755164
49,2020-06-30 03:30:12.047322,13.40478516845558,144.69216212881773
50,2020-06-30 03:30:12.080656,13.404785181455841,144.69215670404256
51,2020-06-30 03:30:12.113978,13.40478519445142,144.6921512812203
52,2020-06-30 03:30:12.147300,13.404785207447,144.69214585839802
53,2020-06-30 03:30:12.180633,13.40478522044687,144.6921404337856
54,2020-06-30 03:30:12.213967,13.40478523344713,144.69213500901043
55,2020-06-30 03:30:12.247289,13.40478524644271,144.69212958618814
56,2020-06-30 03:30:12.280622,13.40478525944258,144.69212416157572
57,2020-06-30 03:30:12.313944,13.404785272438161,144.69211873875344
58,2020-06-30 03:30:12.347267,13.40478528543413,144.69211331576844
59,2020-06-30 03:30:12.380600,13.404785298434,144.692107891156
60,2020-06-30 03:30:12.413933,13.404785311433871,144.6921024665436
61,2020-06-30 03:30:12.447256,13.40478532442984,144.69209704355856
62,2020-06-30 03:30:12.480589,13.404785337429711,144.69209161894614
63,2020-06-30 03:30:12.513911,13.404785350425291,144.69208619612388
64,2020-06-30 03:30:12.547211,13.40478536341229,144.69208077688188
65,2020-06-30 03:30:12.580533,13.40478537640787,144.6920753540596
66,2020-06-30 03:30:12.613867,13.404785389408131,144.69206992928443
67,2020-06-30 03:30:12.647200,13.404785402408,144.692064504672
68,2020-06-30 03:30:12.680533,13.40478541540787,144.69205908005958
69,2020-06-30 03:30:12.713867,13.40478542840813,144.69205365528444
70,2020-06-30 03:30:12.747189,13.40478544140371,144.69204823246216
71,2020-06-30 03:30:12.780511,13.40478545439929,144.69204280963987
72,2020-06-30 03:30:12.813844,13.40478546739916,144.69203738502745
73,2020-06-30 03:30:12.847167,13.40478548039513,144.69203196204242
74,2020-06-30 03:30:12.880500,13.404785493395,144.69202653743
75,2020-06-30 03:30:12.913833,13.404785506394871,144.69202111281757
76,2020-06-30 03:30:12.947156,13.40478551939084,144.69201568983257
77,2020-06-30 03:30:12.980478,13.40478553238642,144.6920102670103
78,2020-06-30 03:30:13.013822,13.404785463840781,144.69200486134073
79,2020-06-30 03:30:13.047144,13.404785280236561,144.69199948850144
80,2020-06-30 03:30:13.080467,13.404785096626831,144.69199411550093
81,2020-06-30 03:30:13.113800,13.404784912962,144.691988740888
